,edad,fnlwgt,educacion_num,estado_civil,relacion,raza,genero,ganancia-capital,perdida-capital,horas_semana,pais,tipo_empleo,salario
36,21,197200,10,1,3,4,1,0,0,40,1,1,1
37,19,544091,9,0,5,4,0,0,0,25,1,1,1
38,31,84154,10,0,0,4,1,0,0,38,0,1,0
39,48,265477,12,0,0,4,1,0,0,40,1,2,1
40,31,507875,5,0,0,4,1,0,0,43,1,1,1
41,53,88506,13,0,0,4,1,0,0,40,1,2,1
42,24,172987,13,0,0,4,1,0,0,50,1,1,1
43,49,94638,9,1,4,4,0,0,0,40,1,1,1
44,25,289980,9,1,1,4,1,0,0,35,1,1,1
45,57,337895,13,0,0,2,1,0,0,40,1,0,0
46,53,144361,9,0,0,4,1,0,0,38,1,1,1
47,44,128354,14,1,4,4,0,0,0,40,1,1,1
48,41,101603,11,0,0,4,1,0,0,40,1,0,1
49,29,271466,11,1,1,4,1,0,0,43,1,1,1
50,25,32275,10,0,5,3,0,0,0,40,1,1,1
51,18,226956,9,1,3,4,0,0,0,30,0,1,1
52,47,51835,15,0,5,4,0,0,1,60,0,1,0
53,50,251585,13,1,1,4,1,0,0,55,1,0,0
54,47,109832,9,1,1,4,1,0,0,60,1,2,1
55,43,237993,10,0,0,4,1,0,0,40,1,1,0
56,46,216666,3,0,0,4,1,0,0,40,0,1,1
57,35,56352,11,0,0,4,1,0,0,40,0,1,1
58,41,147372,9,0,0,4,1,0,0,48,1,1,1
59,30,188146,9,0,0,4,1,1,0,40,1,1,1
60,30,59496,13,0,0,4,1,1,0,40,1,1,1
61,32,293936,4,1,1,4,1,0,0,40,0,3,1
62,48,149640,9,0,0,4,1,0,0,40,1,1,1
63,42,116632,16,0,0,4,1,0,0,45,1,1,0
64,29,105598,10,1,1,4,1,0,0,58,1,1,1
65,36,155537,9,0,0,4,1,0,0,40,1,1,1
66,28,183175,10,1,1,4,0,0,0,40,1,1,1
67,53,169846,9,0,5,4,0,0,0,40,1,1,0
68,49,191681,10,0,0,4,1,0,0,50,1,2,0
69,25,200681,10,1,3,4,1,0,0,40,1,3,1
70,19,101509,10,1,3,4,1,0,0,32,1,1,1
71,31,309974,13,1,3,2,0,0,0,40,1,1,1
72,29,162298,13,0,0,4,1,0,0,70,1,2,0
73,23,211678,10,1,1,4,1,0,0,40,1,1,1
74,79,124744,10,0,2,4,1,0,0,20,1,1,1
75,27,213921,9,1,3,4,1,0,0,40,0,1,1
76,40,32214,12,0,0,4,1,0,0,40,1,1,1
77,67,212759,6,0,0,4,1,0,0,2,1,3,1
78,18,309634,7,1,3,4,0,0,0,22,1,1,1
79,31,125927,4,0,0,4,1,0,0,40,1,0,1
80,18,446839,9,1,1,4,1,0,0,30,1,1,1
81,52,276515,13,0,0,4,1,0,0,40,0,1,1
82,46,51618,9,0,5,4,0,0,0,40,1,1,1
83,59,159937,9,0,0,4,1,0,0,48,1,1,1
84,44,343591,9,1,1,4,0,1,0,40,1,1,0
85,53,346253,9,1,3,4,0,0,0,35,1,1,1
86,49,268234,9,0,0,4,1,0,0,40,1,0,0
87,33,202051,14,0,0,4,1,0,0,50,1,1,1
88,30,54334,5,1,1,4,1,0,0,40,1,1,1
89,43,410867,16,1,1,4,0,0,0,50,1,0,0
90,57,249977,11,0,0,4,1,0,0,40,1,1,1
91,37,286730,10,1,4,4,0,0,0,40,1,1,1
92,28,212563,10,1,4,2,0,0,0,25,1,1,1
93,30,117747,9,0,5,1,0,0,1,35,0,1,1
94,34,226296,13,0,0,4,1,0,0,40,1,0,0
95,29,115585,10,1,1,4,1,0,0,50,1,0,1
96,48,191277,16,0,0,4,1,0,1,60,1,2,0
97,37,202683,10,0,0,4,1,0,0,48,1,1,0
98,48,171095,12,1,4,4,0,0,0,40,0,1,1
99,32,249409,9,1,3,2,1,0,0,40,1,0,1
100,76,124191,14,0,0,4,1,0,0,40,1,1,0
101,44,198282,13,0,0,4,1,1,0,60,1,1,0
102,47,149116,14,1,1,4,0,0,0,50,1,2,1
103,20,188300,10,1,3,4,0,0,0,40,1,1,1
104,29,103432,9,1,1,4,1,0,0,40,1,1,1
105,32,317660,9,0,0,4,1,1,0,40,1,2,0
106,17,304873,6,1,3,4,0,1,0,32,1,3,1
107,30,194901,7,1,3,4,1,0,0,40,1,1,1
108,31,189265,9,1,1,4,0,0,0,40,1,0,1
109,42,124692,9,0,0,4,1,0,0,40,1,1,1
110,24,432376,13,1,2,4,1,0,0,40,1,1,1
111,38,65324,15,0,0,4,1,0,0,40,1,1,0
112,56,335605,9,0,0,4,1,0,1,50,0,2,0
113,28,377869,10,0,5,4,0,1,0,25,1,1,1
114,36,102864,9,1,3,4,0,0,0,40,1,1,1
115,53,95647,5,0,0,4,1,0,0,50,1,1,1
116,56,303090,10,0,0,4,1,0,0,50,1,2,1
117,49,197371,11,0,0,2,1,0,0,40,1,0,0
118,55,247552,10,0,0,4,1,0,0,56,1,1,1
119,22,102632,9,1,1,4,1,0,0,41,1,1,1
120,21,199915,10,1,3,4,0,0,0,40,1,1,1
121,40,118853,13,0,0,4,1,0,0,60,1,1,1
122,30,77143,13,1,3,2,1,0,0,40,0,1,1
123,29,267989,13,0,0,4,1,0,0,50,1,0,0
124,19,301606,10,1,3,2,1,0,0,35,1,1,1
125,47,287828,13,0,5,4,0,0,0,40,1,1,0
126,20,111697,10,1,3,4,0,0,1,28,1,1,1
127,31,114937,12,0,0,4,1,0,0,40,1,1,0
128,35,129305,9,0,0,4,1,0,0,40,1,3,1
129,39,365739,10,1,1,4,1,0,0,40,1,1,1
130,28,69621,12,1,1,4,0,0,0,60,1,1,1
131,24,43323,9,1,1,4,0,0,1,40,1,1,1
132,38,120985,9,0,0,4,1,1,0,35,1,2,1
133,37,254202,13,0,0,4,1,0,0,50,1,1,1
134,46,146195,12,1,1,2,0,0,0,36,1,1,1
135,38,125933,14,0,0,4,1,0,0,40,0,0,0
136,43,56920,9,0,0,4,1,0,0,60,1,2,1
137,27,163127,11,0,5,4,0,0,0,35,1,1,1
138,20,34310,10,1,3,4,1,0,0,20,1,1,1
139,49,81973,10,0,0,1,1,0,0,40,1,1,0
140,61,66614,9,0,0,4,1,0,0,40,1,2,1
141,27,232782,10,1,3,4,0,0,0,40,1,1,1
142,19,316868,10,1,3,4,1,0,0,30,0,1,1
143,45,196584,11,1,1,4,0,0,1,40,1,1,0
144,70,105376,10,1,2,4,1,0,0,40,1,1,1
145,31,185814,9,1,4,2,0,0,0,30,1,1,1
146,22,175374,10,0,0,4,1,0,0,24,1,1,1
147,36,108293,9,1,4,4,0,0,0,24,1,1,1
148,64,181232,7,0,0,4,1,0,1,40,1,1,1
149,43,174662,10,1,1,4,0,0,0,40,1,3,1
150,47,186009,10,1,4,4,0,0,0,38,0,0,1
151,34,198183,9,1,1,4,0,0,0,40,1,1,1
152,33,163003,13,1,2,1,0,0,0,40,0,1,1
153,21,296158,9,1,3,4,1,0,0,35,1,1,1
154,52,252903,9,1,1,4,1,0,0,45,1,3,0
155,48,187715,9,0,0,4,1,0,0,46,1,1,1
156,23,214542,13,1,1,4,1,0,0,40,1,1,1
157,71,494223,10,1,4,2,1,0,1,2,1,2,1
158,29,191535,9,1,1,4,1,0,0,60,1,1,1
159,42,228456,13,1,2,2,1,0,0,50,1,1,1
160,68,38317,2,1,1,4,0,0,0,20,1,3,1
161,25,252752,9,1,4,4,0,0,0,40,1,1,1
162,44,78374,14,1,4,1,0,0,0,40,1,2,1
163,28,88419,9,1,1,1,0,0,0,40,0,1,1
164,45,201080,14,0,0,4,1,0,0,40,1,2,0
165,36,207157,10,1,4,4,0,0,0,40,0,1,1
166,39,235485,12,1,1,4,1,0,0,42,1,0,1
167,46,102628,14,1,4,4,1,0,0,40,1,0,1
168,18,25828,7,1,3,4,1,0,0,16,1,1,1
169,66,54826,11,1,1,4,0,0,0,20,1,0,1
170,27,124953,9,1,1,4,1,0,1,40,1,1,1
171,28,175325,9,0,0,4,1,0,0,40,1,0,1
172,51,96062,10,0,0,4,1,0,1,40,1,1,0
173,27,428030,13,1,1,4,1,0,0,50,1,1,1
174,28,149624,13,0,0,4,1,0,0,40,1,0,0
175,27,253814,9,1,4,4,0,0,0,25,1,1,1
176,21,312956,9,1,3,2,1,0,0,40,1,1,1
177,34,483777,9,1,1,2,1,0,0,40,1,1,1
178,18,183930,9,1,3,4,1,0,0,12,1,1,1
179,33,37274,13,0,0,4,1,0,0,65,1,1,1
180,44,181344,10,0,0,2,1,0,0,38,1,0,0
181,43,114580,10,1,1,4,0,0,0,40,1,1,1
182,30,633742,10,1,1,2,1,0,0,45,1,1,1
183,40,286370,4,0,0,4,1,0,0,40,0,1,0
184,37,29054,10,0,0,4,1,0,0,42,1,0,0
185,34,304030,9,0,0,2,1,0,0,40,1,1,1
186,41,143129,13,1,1,4,0,0,0,40,1,2,1
187,53,135105,13,1,1,4,0,0,0,50,1,3,1
188,31,99928,14,0,5,4,0,0,0,50,1,1,1
189,58,109567,16,0,0,4,1,0,0,1,1,0,0
190,38,155222,10,1,1,2,0,0,0,28,1,1,1
191,24,159567,10,0,0,4,1,0,0,40,1,1,1
192,41,523910,13,0,0,2,1,0,0,40,1,0,1
193,47,120939,10,0,0,4,1,0,0,45,1,1,1
194,41,130760,13,0,0,4,1,0,0,24,1,0,1
195,23,197387,3,0,2,4,1,0,0,40,0,1,1
196,36,99374,10,1,1,4,1,0,0,40,1,1,1
197,40,56795,14,1,1,4,0,1,0,55,1,0,0
198,35,138992,14,0,2,4,1,1,0,40,1,1,0
199,24,32921,9,1,1,4,1,0,0,40,1,2,1
200,26,397317,14,1,1,4,0,0,1,40,1,1,1
201,19,170653,9,1,3,4,1,0,0,40,0,3,1
202,51,259323,13,0,0,4,1,0,0,50,1,1,0
203,42,254817,10,1,1,4,0,0,1,40,1,0,1
204,37,48211,9,1,4,4,0,0,0,35,1,0,1
205,18,140164,7,1,3,4,0,0,0,40,1,1,1
206,36,128757,13,0,0,2,1,1,0,36,1,1,0
207,35,36270,9,1,1,4,1,0,0,60,1,1,1
208,58,210563,9,0,5,4,0,1,0,35,1,2,0
209,17,65368,7,1,3,4,0,0,0,12,1,1,1
210,44,160943,9,0,0,2,1,0,0,40,1,0,1
211,37,208358,9,0,0,4,1,0,0,40,1,1,0
212,35,153790,10,1,1,0,0,0,0,40,1,1,1
213,60,85815,9,0,0,1,1,0,0,40,1,1,1
214,54,125417,4,0,0,4,1,0,0,40,1,2,0
215,37,635913,13,1,1,2,1,0,0,60,1,1,0
216,50,313321,12,1,1,4,0,0,0,40,1,1,1
217,38,182609,13,0,0,4,1,0,0,50,0,1,1
218,45,109434,13,0,0,4,1,0,0,55,1,1,1
219,25,255004,6,1,1,4,1,0,0,40,1,1,1
220,31,197860,10,0,0,4,1,0,0,40,1,1,1
221,64,187656,2,1,1,4,1,0,0,40,1,3,1
222,90,51744,9,1,1,2,1,0,1,40,1,1,1
223,54,176681,9,0,0,2,1,0,0,20,1,1,1
224,53,140359,1,1,1,4,0,0,0,35,1,0,1
225,18,243313,9,1,3,4,0,0,0,40,1,1,1
226,60,24215,6,1,1,0,0,0,0,10,1,3,1
227,66,167687,9,0,0,4,1,1,0,50,1,2,1
228,75,314209,11,1,1,4,0,0,0,20,0,1,1
229,65,176796,9,1,1,4,0,0,0,40,1,1,1
230,35,538583,7,1,1,2,1,1,0,40,1,1,1
231,41,130408,9,1,4,2,0,0,0,38,1,1,1
232,25,159732,10,1,1,4,1,0,0,42,1,1,1
233,33,110978,10,1,2,3,0,0,0,40,1,1,1
234,28,76714,15,1,1,4,1,0,0,55,1,1,0
235,59,268700,9,0,0,4,1,0,0,40,1,0,1
236,40,170525,10,1,1,4,0,0,0,38,1,0,1
237,41,180138,13,0,0,4,1,0,0,50,0,1,0
238,38,115076,14,0,0,4,1,0,0,70,1,0,0
239,23,115458,9,1,3,4,1,0,0,40,1,1,1
240,40,347890,13,0,0,4,1,0,0,40,1,1,0
241,41,196001,9,0,5,4,0,0,0,20,1,2,1
242,24,273905,12,0,0,4,1,0,0,50,1,0,1
243,20,119156,10,1,3,4,1,0,0,20,1,3,1
244,38,179488,10,1,1,4,1,0,1,40,1,1,1
245,56,203580,9,0,0,4,1,0,0,35,0,1,1
246,58,236596,9,0,0,4,1,0,0,45,1,1,0
247,32,183916,9,1,1,4,0,0,0,34,1,1,1
248,40,207578,12,0,0,4,1,0,1,60,1,1,0
249,45,153141,9,0,0,4,1,0,0,40,0,1,1
250,41,112763,15,0,5,4,0,0,0,40,1,1,0
251,42,390781,13,0,5,2,0,0,0,40,1,1,1
252,59,171328,6,1,4,2,0,0,0,30,1,0,1
253,19,27382,10,1,3,4,1,0,0,40,1,0,1
254,58,259014,10,1,1,4,1,0,0,20,1,1,1
255,42,303044,9,0,0,1,1,0,0,40,0,2,0
256,20,117789,9,1,3,4,0,0,0,40,1,1,1
257,32,172579,9,1,1,4,0,0,0,30,1,1,1
258,45,187666,11,1,1,4,0,0,0,45,1,1,1
259,50,204518,4,1,1,4,1,0,0,40,1,1,1
260,36,150042,13,1,3,4,0,0,0,40,1,1,1
261,45,98092,9,0,0,4,1,0,0,60,1,1,1
262,17,245918,7,1,3,4,1,0,0,12,1,1,1
263,59,146013,10,0,0,4,1,1,0,40,1,1,1
264,26,378322,7,0,0,4,1,0,0,40,1,1,1
265,37,257295,10,0,0,1,1,0,0,75,0,2,0
266,19,218956,10,1,3,4,1,0,0,24,0,3,1
267,64,21174,9,0,0,4,1,0,0,40,1,1,0
268,33,185480,13,1,1,4,0,0,0,45,1,1,1
269,33,222205,9,0,5,4,0,0,0,40,1,1,0
270,61,69867,9,0,0,4,1,0,0,40,1,1,0
271,17,191260,5,1,3,4,1,1,0,24,1,1,1
272,50,30653,14,0,0,4,1,1,0,98,1,2,1
273,27,209109,14,1,3,4,1,0,0,35,1,0,1
274,30,70377,9,1,3,4,0,0,0,40,1,1,1
275,43,477983,9,0,0,2,1,0,0,40,1,1,1
276,44,170924,10,0,0,4,1,1,0,40,1,1,0
277,35,190174,10,1,1,4,0,0,0,40,1,1,1
278,25,193787,10,1,3,4,0,0,0,40,1,1,1
279,24,279472,10,0,5,4,0,1,0,48,1,1,0
280,22,34918,13,1,1,4,0,0,0,15,0,1,1
281,42,97688,10,0,0,4,1,1,0,40,1,0,0
282,34,175413,12,1,4,2,0,0,0,45,1,1,1
283,60,173960,13,1,1,4,0,0,0,42,1,1,1
284,21,205759,9,1,3,4,1,0,0,40,1,1,1
285,57,425161,14,0,0,4,1,1,0,40,1,0,0
286,41,220531,15,0,0,4,1,0,0,60,1,1,0
287,50,176609,10,1,1,4,1,0,0,45,1,1,1
288,25,371987,13,1,1,4,0,0,0,40,1,1,1
289,50,193884,4,0,0,4,1,0,0,40,0,1,1
290,36,200352,13,0,0,4,1,0,0,45,1,1,1
291,31,127595,9,1,1,4,0,0,0,40,1,1,1
292,29,220419,13,1,1,4,1,0,0,56,1,0,1
293,21,231931,10,1,3,4,1,0,0,45,1,1,1
294,27,248402,13,1,4,2,0,0,0,40,1,1,1
295,65,111095,9,0,0,4,1,0,0,16,1,1,1
296,37,57424,13,1,1,4,0,0,0,60,1,2,1
297,39,157443,14,0,5,1,0,1,0,40,0,3,1
298,24,278130,9,1,3,4,1,0,0,40,1,1,1
299,38,169469,9,1,1,4,1,0,0,80,1,1,1
300,48,146268,13,0,0,4,1,1,0,40,1,1,0
301,21,153718,10,1,1,1,0,0,0,25,1,1,1
302,31,217460,9,0,0,4,1,0,0,45,1,1,0
303,55,238638,9,0,0,4,1,1,0,40,1,1,0
304,24,303296,10,0,5,1,0,0,0,40,0,1,1
305,43,173321,9,1,1,4,0,0,0,40,1,1,1
306,26,193945,12,1,1,4,1,0,0,45,1,1,1
307,46,83082,12,1,1,4,0,0,0,33,1,1,1
308,35,193815,12,0,0,4,1,0,0,40,1,1,0
309,41,34987,10,0,0,4,1,0,0,54,1,2,0
310,26,59306,13,1,1,4,1,0,0,40,1,1,1
311,34,142897,14,0,0,1,1,1,0,35,0,1,0
312,19,860348,10,1,3,2,0,0,0,25,1,3,1
313,36,205607,13,1,1,2,0,0,0,40,1,2,0
314,22,199698,10,1,3,4,1,0,0,15,1,1,1
315,24,191954,10,1,1,4,1,0,0,40,1,1,1
316,77,138714,10,0,0,4,1,0,0,40,1,2,1
317,22,399087,3,0,2,4,0,0,0,40,0,1,1
318,29,423158,10,1,1,4,0,0,0,40,1,1,1
319,62,159841,9,1,1,4,0,0,0,24,1,1,1
320,39,174308,9,0,0,4,1,0,0,40,1,2,1
321,43,50356,10,0,0,4,1,0,1,50,1,1,1
322,35,186110,9,1,1,4,1,0,0,45,1,1,1
323,29,200381,7,1,1,4,0,0,0,40,1,1,1
324,76,174309,14,0,0,4,1,0,0,10,1,2,1
325,63,78383,9,0,0,4,1,0,0,45,1,2,1
326,23,211601,11,1,3,2,0,0,0,15,1,3,1
327,43,187728,10,0,5,4,0,0,1,50,1,1,0
328,58,321171,9,0,0,4,1,0,0,40,1,2,1
329,66,127921,9,1,1,4,1,1,0,55,1,1,1
330,41,206565,10,1,1,2,1,0,0,45,1,1,1
331,26,224563,13,1,1,4,1,0,0,40,1,1,1
332,47,178686,11,1,1,4,1,0,0,40,1,1,1
333,55,98545,6,0,0,4,1,0,0,40,1,0,1
334,53,242606,9,0,0,4,1,0,0,40,1,1,1
335,17,270942,3,1,2,4,1,0,0,48,0,1,1
336,30,94235,9,1,2,4,1,0,0,40,1,1,1
337,49,71195,14,1,1,4,1,0,0,60,1,1,1
338,19,104112,9,1,4,2,1,0,0,30,0,1,1
339,45,261192,9,0,0,2,1,0,0,40,1,1,1
340,26,94936,12,1,1,4,1,0,0,40,1,1,1
341,38,296478,11,0,0,4,1,1,0,40,1,1,0
342,36,119272,9,0,0,4,1,1,0,40,1,0,0
343,33,85043,9,1,1,4,1,0,0,20,1,1,1
344,22,293364,10,1,3,2,0,0,0,40,1,0,1
345,43,241895,13,1,1,4,1,0,0,42,1,2,1
346,67,36135,7,0,0,4,1,0,0,8,1,3,1
347,30,151989,11,1,4,4,0,0,0,40,1,3,1
348,56,101128,12,1,1,4,1,0,0,25,0,1,1
349,31,156464,13,1,3,4,1,0,0,25,1,1,1
350,33,117963,13,0,0,4,1,0,0,40,1,1,0
351,26,192262,9,0,0,4,1,0,0,40,1,1,1
352,33,111363,13,0,0,4,1,0,0,40,1,1,0
353,46,329752,7,0,0,4,1,0,0,30,1,0,1
354,59,372020,13,0,0,4,1,0,0,40,1,3,0
355,38,95432,9,0,0,4,1,0,0,40,1,0,0
356,65,161400,7,1,4,3,1,0,0,40,1,1,1
357,40,96129,11,0,0,4,1,0,0,40,1,1,0
358,42,111949,9,0,5,4,0,0,0,35,1,1,1
359,26,117125,5,0,0,4,1,0,0,40,0,2,1
360,36,348022,6,0,5,4,0,0,0,24,1,1,1
361,62,270092,14,0,0,4,1,0,0,40,1,1,0
362,43,180609,13,0,0,4,1,0,0,45,1,1,1
363,43,174575,13,1,1,4,1,0,1,45,1,1,0
364,22,410439,9,1,1,4,1,0,0,55,1,1,1
365,28,92262,9,0,0,4,1,0,0,40,1,1,1
366,56,183081,10,0,0,4,1,0,0,45,1,2,1
367,22,362589,12,1,1,4,0,0,0,15,1,1,1
368,57,212448,13,1,1,4,0,0,0,45,1,1,0
369,39,481060,9,1,4,4,0,0,0,40,1,1,1
370,26,185885,10,1,4,4,0,0,0,15,1,0,1
371,17,89821,7,1,3,4,1,0,0,10,1,1,1
372,40,184018,11,0,0,4,1,0,0,38,1,0,0
373,45,256649,9,0,0,2,1,0,0,40,1,1,1
374,44,160323,9,1,1,2,1,0,0,40,1,1,1
375,20,350845,10,1,3,4,0,0,0,10,1,0,1
376,33,267404,9,0,5,4,0,0,0,40,1,1,1
377,23,35633,10,1,1,4,1,0,0,40,1,1,1
378,46,80914,14,1,1,4,1,0,0,30,1,2,1
379,38,172927,9,0,0,4,1,0,0,50,1,1,1
380,54,174319,9,1,1,4,1,0,0,40,1,1,1
381,46,214955,3,1,1,4,0,0,1,45,1,1,1
382,25,344991,10,0,0,4,1,0,0,40,1,1,1
383,46,108699,10,1,1,4,0,0,0,40,1,1,1
384,36,117312,10,0,5,4,0,0,0,40,1,0,1
385,23,396099,9,1,1,4,0,0,0,25,1,1,1
386,29,134152,9,1,1,4,1,0,0,40,1,1,1
387,44,162028,10,0,5,4,0,0,1,6,1,1,0
388,19,25429,10,1,3,4,0,0,0,16,1,1,1
389,19,232392,9,1,2,4,0,0,0,40,1,1,1
390,35,220098,9,0,5,4,0,0,0,40,1,1,0
391,27,301302,13,1,1,4,1,0,0,50,1,1,1
392,46,277946,12,1,1,4,1,0,0,40,1,2,1
393,34,98101,13,0,0,4,1,1,0,45,0,0,0
394,34,196164,9,1,1,4,0,0,0,35,1,1,1
395,44,115562,10,0,0,4,1,0,0,40,1,1,1
396,45,96975,10,1,4,4,0,0,0,40,1,1,1
397,20,137300,9,1,2,4,0,0,0,35,1,3,1
398,25,86872,13,0,0,4,1,0,0,55,1,1,0
399,52,132178,13,0,0,4,1,0,0,50,1,2,0
400,20,416103,10,1,3,4,1,0,0,40,1,1,1
401,28,108574,10,1,1,4,0,0,0,40,1,1,1
402,50,288353,13,0,0,4,1,0,0,40,1,0,0
403,34,227689,11,1,1,4,0,0,0,64,1,1,1
404,28,166481,4,0,0,3,1,0,1,40,0,1,1
405,41,445382,14,0,0,4,1,0,1,65,1,1,0
406,28,110145,9,0,0,4,1,0,0,40,1,1,1
407,46,317253,9,0,0,4,1,0,0,25,1,2,1
408,28,123147,10,0,5,4,0,0,1,40,1,3,0
409,32,364657,10,0,0,4,1,0,0,50,1,1,1
410,41,42346,10,1,1,2,0,0,0,24,1,0,1
411,24,241951,9,1,4,2,0,0,0,40,1,1,1
412,33,118500,10,1,4,4,0,0,0,40,1,1,1
413,46,188386,16,0,0,4,1,1,0,60,1,1,0
414,31,1033222,10,0,0,4,1,0,0,40,1,0,1
415,35,92440,8,1,1,4,1,0,0,50,1,1,0
416,52,190762,2,0,0,4,1,0,0,40,0,1,1
417,30,426017,7,1,3,4,0,0,0,19,1,1,1
418,34,243867,7,1,1,2,1,0,0,40,1,0,1
419,34,240283,9,1,4,4,0,0,0,40,1,0,1
420,20,61777,10,0,0,4,1,0,0,30,1,1,1
421,17,175024,7,1,3,4,1,1,0,18,1,1,1
422,32,92003,13,0,5,4,0,0,0,40,1,0,0
423,29,188401,9,1,1,4,1,0,0,40,1,1,1
424,33,228528,6,1,4,4,0,0,0,35,1,1,1
425,25,133373,9,0,0,4,1,0,0,60,1,1,1
426,36,255191,14,1,1,4,1,0,1,40,1,0,1
427,23,204653,9,1,1,4,1,0,0,72,0,1,1
428,63,222289,9,0,0,4,1,0,0,40,1,2,0
429,47,287480,14,0,0,4,1,0,0,40,1,0,1
430,80,107762,9,1,1,4,1,0,0,24,1,3,1
431,17,202521,7,1,3,4,1,0,0,40,1,3,1
432,40,204116,13,1,1,4,0,1,0,40,1,2,1
433,30,29662,12,0,5,4,0,0,0,25,1,1,0
434,27,116358,10,1,3,1,1,0,1,40,0,1,1
435,33,208405,14,0,0,4,1,0,0,50,1,1,0
436,34,284843,9,1,1,2,1,1,0,60,1,0,1
437,34,117018,10,1,1,4,0,0,0,40,1,0,1
438,23,81281,10,0,0,4,1,0,0,40,1,1,1
439,42,340148,10,0,5,4,0,0,0,40,1,0,1
440,29,363425,13,1,1,4,1,0,0,40,1,1,1
441,45,45857,9,1,1,4,0,0,0,28,1,1,1
442,24,191073,9,1,3,4,1,0,0,40,1,0,1
443,44,116632,10,0,0,4,1,0,0,40,1,1,0
444,27,405855,5,1,2,4,1,0,0,40,0,1,1
445,20,298227,10,1,1,4,1,0,0,35,1,1,1
446,44,290521,9,1,4,2,0,0,0,40,1,1,1
447,51,56915,9,0,0,0,1,0,0,40,1,1,1
448,20,146538,9,0,0,4,1,0,0,40,1,1,1
449,17,258872,7,1,3,4,0,0,0,5,1,3,1
450,19,206399,9,1,3,2,0,0,0,40,1,1,1
451,45,197332,10,0,0,4,1,0,0,55,1,2,0
452,60,245062,9,0,0,4,1,0,0,40,1,1,0
453,42,197583,12,0,0,2,1,0,0,40,0,1,0
454,44,234885,9,0,5,4,0,0,0,40,1,2,0
455,40,72887,11,0,0,1,1,0,0,40,1,1,0
456,30,180374,9,0,5,4,0,0,0,40,1,1,1
457,38,351299,10,0,0,2,1,0,0,50,1,1,1
458,23,54012,9,0,0,4,1,0,0,60,1,1,1
459,32,115745,10,0,0,4,1,0,0,40,1,3,1
460,44,116632,12,1,3,4,1,0,0,40,1,1,1
461,54,288825,9,0,0,2,1,0,0,40,1,0,1
462,32,132601,13,0,0,4,1,0,0,50,1,1,1
463,50,193374,2,1,4,4,1,0,0,40,1,1,1
464,24,170070,13,1,1,4,0,0,0,20,1,1,1
465,37,126708,9,0,5,4,0,0,0,60,1,1,1
466,52,35598,9,1,4,4,1,0,0,40,1,1,1
467,38,33983,10,0,0,4,1,0,0,40,1,1,1
468,49,192776,14,0,0,4,1,0,1,45,1,1,0
469,30,118551,13,0,5,4,0,0,0,16,1,1,0
470,60,201965,10,1,4,4,1,0,0,40,1,1,0
471,22,139883,10,1,3,4,1,0,0,40,1,3,1
472,35,285020,9,1,1,4,1,0,0,40,1,1,1
473,30,303990,9,1,1,4,1,0,0,60,1,1,1
474,67,49401,11,1,1,4,0,0,0,24,1,1,1
475,46,279196,13,1,1,4,0,0,0,40,1,1,1
476,17,211870,5,1,1,4,1,0,0,6,1,1,1
477,22,281432,10,1,3,4,1,0,0,30,1,1,1
